PARAMETER;GAIN;LOSS
0.0;0.0;0.0
0.013671875;0.0033090607632694055;4.4932425565548664E-5
0.0771484375;0.0065951202311405315;3.1816548316833827E-4
0.09765625;0.014388856327108148;0.0011532252707690174
0.1064453125;0.01970215479585121;0.0017803612739920214
0.1279296875;0.022967762665056183;0.0022565878979474677
0.1396484375;0.026228357305330522;0.002782573565979481
0.1611328125;0.030706020418153977;0.0036423011674671917
0.1650390625;0.038430901966850194;0.005160780674935243
0.169921875;0.046150622429691535;0.006730486884709313
0.1708984375;0.13906696868041396;0.025857077390939988
0.1728515625;0.29437715047912394;0.05823180341247364
0.1767578125;0.2976208757158823;0.058925227315020874
0.1796875;0.33698745094853333;0.06754339085474478
0.1806640625;0.6711030789461541;0.14085778371431223
0.193359375;0.6931063747468451;0.14611282164645478
0.2314453125;0.6989114841529703;0.14785297772638037
0.2783203125;0.7310158876327139;0.16018513578145668
0.296875;0.7859903634629596;0.18332439216320864
0.3720703125;0.9584817537103569;0.28548517321622063
0.3759765625;0.9708903250124872;0.2929349941431717
0.8212890625;0.979920989177629;0.33417314081264354
0.9638671875;0.9964378371391923;0.7698738953745611
0.982421875;0.9984890477600669;0.8821359420545617
0.98828125;1.0;1.0
